"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"331","Ever wonder how long 37 years is? @yova_nka reminds us with this article that summarises #Mugabe ‘s 37 years in 10… https://t.co/EwTZ1eE8xj",FALSE,0,NA,2017-12-01 07:30:16,TRUE,NA,"936497662081323008",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","AfricaAtLSE",1,FALSE,FALSE,NA,NA
"332","With #Zimbabwe President #Mugabe calling it quits under pressure from military and his ZANU-PF party speculation do… https://t.co/kBUsMfPHX0",FALSE,0,NA,2017-12-01 07:30:01,TRUE,NA,"936497598030123008",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","orfonline",0,FALSE,FALSE,NA,NA
"333","#Mnangagwa #Zimbabwe #Cabinet. Is this what we marched for? Same as #Mugabe https://t.co/Rct7RM1vRZ",FALSE,1,NA,2017-12-01 07:25:23,FALSE,NA,"936496434798612480",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","rock4us2",0,FALSE,FALSE,NA,NA
"334","#Zimbabwe What is better?

1. President Mnangagwa + recycled 22 member cabinet + #Mnangagwa Zanu PF candidate for 2… https://t.co/SOWjuReitz",FALSE,5,NA,2017-12-01 07:25:11,TRUE,NA,"936496384060133378",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","povozim",8,FALSE,FALSE,NA,NA
"335","yep #zimbabwe #army coup #Mugabe = #imperialism++ long-distance by #China = learned #GreatGame++ #oil #mining… https://t.co/6DNPyrq6Rq",FALSE,0,NA,2017-12-01 07:22:46,TRUE,NA,"936495775470690304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ormiga",0,FALSE,FALSE,NA,NA
"336","RT @bignewsnetwork: Four things #Zimbabwe can do to recover from the #Mugabe era
https://t.co/Iyk4P8FqDh https://t.co/q1LVcAeZWT",FALSE,0,NA,2017-12-01 07:14:32,FALSE,NA,"936493702624759814",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","auldcove",1,TRUE,FALSE,NA,NA
"337","RT @dewamavhinga: Breaking: #Mnangagwa includes Military generals who spearheaded the coup against #Mugabe in new cabinet - Air Marshall Pe…",FALSE,0,NA,2017-12-01 07:12:50,FALSE,NA,"936493276311547906",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamedburke",121,TRUE,FALSE,NA,NA
"338","<ed><U+00A0><U+00BD><ed><U+00B3><U+00A2>TODAY at 2pm, Catch the #GTeeVibe as we take a look at the 1st 7 Days of President Emmerson D. Mnangagwa &amp;… https://t.co/HPpLp3rtOH",FALSE,7,NA,2017-12-01 07:11:14,TRUE,NA,"936492870311301121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GilmoreTee",3,FALSE,FALSE,NA,NA
"339","@BraMango @ProfJNMoyo Mantra is ""a statement or slogan repeated frequently"". I have came to realise that in Zimbabw… https://t.co/EP0gbPb18S",FALSE,7,"BraMango",2017-12-01 07:11:07,TRUE,"936491661009588224","936492842750545920","2769324503","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","melodychakatsva",1,FALSE,FALSE,NA,NA
"340","New Music Alert!!! 

Chilla Flamez - #Mugabe 
<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
Please download it and enjoy 

https://t.co/n38Z5QWwb7

#MugabeHasFallen 
#MugabeResigns",FALSE,1,NA,2017-12-01 07:09:52,FALSE,NA,"936492526705496064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChillaFlamez",2,FALSE,FALSE,NA,NA
